"INSEE","NOMCLAIR","CP","NOMSIMPLE","REGION","DEPARTEMENT","POP","POParr"
"01185","Hauteville-Lompnes","01110","HAUTEVILLE LOMPNES","84","01",3919,3919
"01186","Hostiaz","01110","HOSTIAZ","84","01",86,86
"01187","Hotonnes","01260","HAUT VALROMEY","84","01",300,300
"01188","Illiat","01140","ILLIAT","84","01",592,592
"01189","Injoux-Génissiat","01200","INJOUX GENISSIAT","84","01",1130,1130
"01190","Innimond","01680","INNIMOND","84","01",117,117
"01191","Izenave","01430","IZENAVE","84","01",169.999999999999,169
"01192","Izernore","01580","IZERNORE","84","01",2312,2312
"01193","Izieu","01300","IZIEU","84","01",221,221
"01194","Jassans-Riottier","01480","JASSANS RIOTTIER","84","01",6253.99999999997,6253
"01195","Jasseron","01250","JASSERON","84","01",1681.99999999999,1681
"01196","Jayat","01340","JAYAT","84","01",1098.99999999999,1098
"01197","Journans","01250","JOURNANS","84","01",344.999999999999,344
"01198","Joyeux","01800","JOYEUX","84","01",263,263
"01199","Jujurieux","01640","JUJURIEUX","84","01",2172,2172
"01200","Labalme","01450","LABALME","84","01",206,206
"01202","Lagnieu","01150","LAGNIEU","84","01",6889.00000000001,6889
"01203","Laiz","01290","LAIZ","84","01",1187.00000000001,1187
"01204","Lalleyriat","01130","LE POIZAT LALLEYRIAT","84","01",261,261
"01205","Lancrans","01200","LANCRANS","84","01",1030,1030
"01206","Lantenay","01430","LANTENAY","84","01",261,261
"01207","Lapeyrouse","01330","LAPEYROUSE","84","01",315.999999999999,315
"01208","Lavours","01350","LAVOURS","84","01",144,144
"01209","Léaz","01200","LEAZ","84","01",650,650
"01210","Lélex","01410","LELEX","84","01",231,231
"01211","Lent","01240","LENT","84","01",1413,1413
"01212","Lescheroux","01560","LESCHEROUX","84","01",695,695
"01213","Leyment","01150","LEYMENT","84","01",1249,1249
"01214","Leyssard","01450","LEYSSARD","84","01",149,149
"01215","Lhôpital","01420","LHOPITAL","84","01",50,50
"01216","Lhuis","01680","LHUIS","84","01",880.000000000002,880
"01218","Lochieu","01260","LOCHIEU","84","01",95,95
"01219","Lompnas","01680","LOMPNAS","84","01",160,160
"01221","Lompnieu","01260","LOMPNIEU","84","01",118,118
"01224","Loyettes","01360","LOYETTES","84","01",3115,3115
"01225","Lurcy","01090","LURCY","84","01",403.000000000002,403
"01227","Magnieu","01300","MAGNIEU","84","01",443,443
"01228","Maillat","01430","MAILLAT","84","01",647.999999999998,647
"01229","Malafretaz","01340","MALAFRETAZ","84","01",1134,1134
"01230","Mantenay-Montlin","01560","MANTENAY MONTLIN","84","01",309,309
"01231","Manziat","01570","MANZIAT","84","01",1948,1948
"01232","Marboz","01851","MARBOZ","84","01",2196,2196
"01233","Marchamp","01680","MARCHAMP","84","01",128,128
"01234","Marignieu","01300","MARIGNIEU","84","01",164,164
"01235","Marlieux","01240","MARLIEUX","84","01",995,995
"01236","Marsonnas","01340","MARSONNAS","84","01",998.000000000001,998
"01237","Martignat","01100","MARTIGNAT","84","01",1584,1584
"01238","Massieux","01600","MASSIEUX","84","01",2448,2448
"01239","Massignieu-de-Rives","01300","MASSIGNIEU DE RIVES","84","01",646,646
"01240","Matafelon-Granges","01580","MATAFELON GRANGES","84","01",651,651
"01241","Meillonnas","01370","MEILLONNAS","84","01",1303,1303
"01242","Mérignat","01450","MERIGNAT","84","01",125,125
"01243","Messimy-sur-Saône","01480","MESSIMY SUR SAONE","84","01",1218,1218
"01244","Meximieux","01800","MEXIMIEUX","84","01",7424,7424
"01245","Bohas-Meyriat-Rignat","01250","BOHAS MEYRIAT RIGNAT","84","01",874,874
"01246","Mézériat","01660","MEZERIAT","84","01",2140.00000000001,2140
"01247","Mijoux","01170","MIJOUX","84","01",359.999999999999,359
"01247","Mijoux","01410","MIJOUX","84","01",359.999999999999,359
"01248","Mionnay","01390","MIONNAY","84","01",2121,2121
"01249","Miribel","01700","MIRIBEL","84","01",9277,9277
"01250","Misérieux","01600","MISERIEUX","84","01",1841.99999999999,1841
"01252","Mogneneins","01140","MOGNENEINS","84","01",765,765
"01254","Montagnat","01250","MONTAGNAT","84","01",1803,1803
"01255","Montagnieu","01470","MONTAGNIEU","84","01",561,561
"01257","Montanges","01200","MONTANGES","84","01",338,338
"01258","Montceaux","01090","MONTCEAUX","84","01",1226,1226
"01259","Montcet","01310","MONTCET","84","01",659,659
"01260","Le Montellier","01800","LE MONTELLIER","84","01",256,256
"01261","Monthieux","01390","MONTHIEUX","84","01",669,669
"01262","Montluel","01120","MONTLUEL","84","01",7074,7074
"01263","Montmerle-sur-Saône","01090","MONTMERLE SUR SAONE","84","01",3828,3828
"01264","Montracol","01310","MONTRACOL","84","01",999,999
"01265","Montréal-la-Cluse","01460","MONTREAL LA CLUSE","84","01",3410,3410
"01266","Montrevel-en-Bresse","01340","MONTREVEL EN BRESSE","84","01",2441,2441
"01267","Nurieux-Volognat","01460","NURIEUX VOLOGNAT","84","01",1025,1025
"01268","Murs-et-Gélignieux","01300","MURS ET GELIGNIEUX","84","01",250,250
"01269","Nantua","01130","NANTUA","84","01",3524,3524
"01269","Nantua","01460","NANTUA","84","01",3524,3524
"01272","Neuville-les-Dames","01400","NEUVILLE LES DAMES","84","01",1492,1492
"01273","Neuville-sur-Ain","01160","NEUVILLE SUR AIN","84","01",1610.00000000001,1610
"01274","Les Neyrolles","01130","LES NEYROLLES","84","01",636.000000000001,636
"01275","Neyron","01700","NEYRON","84","01",2497,2497
"01276","Niévroz","01120","NIEVROZ","84","01",1524,1524
"01277","Nivollet-Montgriffon","01230","NIVOLLET MONTGRIFFON","84","01",119,119
"01279","Oncieu","01230","ONCIEU","84","01",97,97
"01280","Ordonnaz","01510","ORDONNAZ","84","01",154,154
"01281","Ornex","01210","ORNEX","84","01",4276,4276
"01282","Outriaz","01430","OUTRIAZ","84","01",256,256
"01283","Oyonnax","01100","OYONNAX","84","01",22258,22258
"01284","Ozan","01190","OZAN","84","01",649,649
"01285","Parcieux","01600","PARCIEUX","84","01",1129,1129
"01286","Parves","01300","PARVES ET NATTAGES","84","01",370,370
"01288","Péron","01630","PERON","84","01",2437.00000000001,2437
"01289","Péronnas","01960","PERONNAS","84","01",6109,6109
"01290","Pérouges","01800","PEROUGES","84","01",1205.99999999999,1205
"01291","Perrex","01540","PERREX","84","01",789,789
"01293","Peyriat","01430","PEYRIAT","84","01",175.999999999999,175
"01294","Peyrieu","01300","PEYRIEU","84","01",828,828
"01295","Peyzieux-sur-Saône","01140","PEYZIEUX SUR SAONE","84","01",629.000000000003,629
"01296","Pirajoux","01270","PIRAJOUX","84","01",400.000000000001,400
"01297","Pizay","01120","PIZAY","84","01",758.999999999999,758
"01298","Plagne","01130","PLAGNE","84","01",128.000000000001,128
"01299","Le Plantay","01330","LE PLANTAY","84","01",527,527
"01301","Polliat","01310","POLLIAT","84","01",2424.00000000001,2424
"01302","Pollieu","01350","POLLIEU","84","01",157,157
"01303","Poncin","01450","PONCIN","84","01",1686,1686
"01304","Pont-d'Ain","01160","PONT D AIN","84","01",2734,2734
"01305","Pont-de-Vaux","01190","PONT DE VAUX","84","01",2276,2276
"01306","Pont-de-Veyle","01290","PONT DE VEYLE","84","01",1611,1611
"01307","Port","01460","PORT","84","01",847.999999999997,847
"01308","Pougny","01550","POUGNY","84","01",815,815
"01309","Pouillat","01250","POUILLAT","84","01",92.9999999999999,92
"01310","Prémeyzel","01300","PREMEYZEL","84","01",222,222
"01311","Prémillieu","01110","PREMILLIEU","84","01",45,45
"01313","Prévessin-Moëns","01280","PREVESSIN MOENS","84","01",7560,7560
"01314","Priay","01160","PRIAY","84","01",1600,1600
"01316","Pugieu","01510","PUGIEU","84","01",169.000000000001,169
"01317","Ramasse","01250","RAMASSE","84","01",288,288
"01318","Rancé","01390","RANCE","84","01",685,685
"01319","Relevant","01990","RELEVANT","84","01",470.999999999999,470
"01320","Replonges","01750","REPLONGES","84","01",3651,3651
"01321","Revonnas","01250","REVONNAS","84","01",912,912
"01322","Reyrieux","01600","REYRIEUX","84","01",4420,4420
"01323","Reyssouze","01190","REYSSOUZE","84","01",979.000000000004,979
"01325","Rignieux-le-Franc","01800","RIGNIEUX LE FRANC","84","01",964.000000000005,964
"01328","Romans","01400","ROMANS","84","01",601.999999999999,601
"01329","Rossillon","01510","ROSSILLON","84","01",143,143
"01330","Ruffieu","01260","RUFFIEU","84","01",193,193
"01331","Saint-Alban","01450","ST ALBAN","84","01",168,168
"01332","Saint-André-de-Bâgé","01380","ST ANDRE DE BAGE","84","01",700,700
"01333","Saint-André-de-Corcy","01390","ST ANDRE DE CORCY","84","01",2926,2926
"01334","Saint-André-d'Huiriat","01290","ST ANDRE D HUIRIAT","84","01",547.000000000002,547
"01335","Saint-André-le-Bouchoux","01240","ST ANDRE LE BOUCHOUX","84","01",354,354
"01336","Saint-André-sur-Vieux-Jonc","01960","ST ANDRE SUR VIEUX JONC","84","01",1121,1121
"01337","Saint-Bénigne","01190","ST BENIGNE","84","01",1226,1226
"01338","Saint-Benoît","01300","GROSLEE ST BENOIT","84","01",819.000000000003,819
"01338","Saint-Benoît","01680","GROSLEE ST BENOIT","84","01",819.000000000003,819
"01339","Saint-Bernard","01600","ST BERNARD","84","01",1406,1406
"01341","Saint-Champ","01300","ST CHAMP","84","01",156,156
"01342","Sainte-Croix","01120","STE CROIX","84","01",536,536
"01343","Saint-Cyr-sur-Menthon","01380","ST CYR SUR MENTHON","84","01",1719,1719
"01344","Saint-Denis-lès-Bourg","01000","ST DENIS LES BOURG","84","01",5505,5505
"01345","Saint-Denis-en-Bugey","01500","ST DENIS EN BUGEY","84","01",2216,2216
"01346","Saint-Didier-d'Aussiat","01340","ST DIDIER D AUSSIAT","84","01",892.999999999997,892
"01347","Saint-Didier-de-Formans","01600","ST DIDIER DE FORMANS","84","01",1818,1818
